20	69	20	69
25	100.5	25	100.5
30	138	30	133.5
35	177	35	165
40	213	40	198
45	249	45	225
50	285	50	258
55	318	55	288
60	348	60	316.5
65	375	70	369
70	405	80	414
75	429	90	465
80	450	90	465
90	495	90	465
